Server,TR_IST_AP,flow_or_url,allow_or_src,SNAT_or_DNAT,mac_or_dst,mac_or_request,protocol,sport,dport,Date
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=fe80::1ccf:aae2:308c:a04e,dst=ff02::fb,mac=98:DD:60:64:27:5A,protocol=udp,sport=5353,dport=5353,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=54.194.243.238,mac=98:DD:60:64:27:5A,protocol=tcp,sport=62651,dport=443,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.54.253,mac=98:DD:60:64:27:5A,protocol=udp,sport=123,dport=123,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62651,dst=54.194.243.238:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://cc-api-data.adobe.io/...,0,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.253.38.125,mac=98:DD:60:64:27:5A,protocol=udp,sport=123,dport=123,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.96,mac=BC:09:1B:DD:22:28,protocol=udp,sport=52602,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=54.194.243.238,mac=98:DD:60:64:27:5A,protocol=tcp,sport=62652,dport=443,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.71,dst=172.18.14.225,mac=BC:09:1B:DD:22:28,protocol=udp,sport=52603,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=55454,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=55811,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62652,dst=54.194.243.238:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://cc-api-data.adobe.io/...,0,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=65388,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=17.248.145.132,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57546,dport=443,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57546,dst=17.248.145.132:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://p47-acsegateway.icloud.com/...,0,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_3,flows,allow,src=172.19.0.111,dst=239.255.255.250,mac=BC:09:1B:F0:66:C1,protocol=udp,sport=49197,dport=1900,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=104.123.23.222,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57514,dport=443,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=54.194.243.238,mac=98:DD:60:64:27:5A,protocol=tcp,sport=62653,dport=443,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:62653,dst=54.194.243.238:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://cc-api-data.adobe.io/...,0,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=64906,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=64827,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=49682,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=55628,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=54233,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=59336,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=53594,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=49731,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=59083,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=59007,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=62451,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=51032,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=57738,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=104.76.201.144,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57547,dport=443,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=49742,dport=53,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=212.252.126.144,mac=98:DD:60:64:27:5A,protocol=tcp,sport=57548,dport=443,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,urls,src=172.19.0.125:57548,dst=212.252.126.144:443,mac=98:DD:60:64:27:5A,request:,UNKNOWN,https://weather-data.apple.com/...,0,2022-06-27 00:05:08
server-176.53.2.142.as42926.net,TR_IST_AP_4,flows,allow,src=172.19.0.125,dst=172.18.14.96,mac=98:DD:60:64:27:5A,protocol=udp,sport=61395,dport=53,2022-06-27 00:05:08
